"","Round","State","Match-up"
"647",12,"Washington",38
"648",12,"West Virginia",13
"649",12,"Wisconsin",30
"650",12,"Wyoming",0
"651",13,"Alabama",27
"652",13,"Alaska",3
"653",13,"Arizona",34
"654",13,"Arkansas",18
"655",13,"California",45
"656",13,"Colorado",28
"657",13,"Connecticut",21
"658",13,"Delaware",5
"659",13,"Florida",49
"660",13,"Georgia",46
"661",13,"Hawaii",10
"662",13,"Idaho",11
"663",13,"Illinois",40
"664",13,"Indiana",35
"665",13,"Iowa",20
"666",13,"Kansas",17
"667",13,"Kentucky",24
"668",13,"Louisiana",25
"669",13,"Maine",9
"670",13,"Maryland",31
"671",13,"Massachusetts",36
"672",13,"Michigan",47
"673",13,"Minnesota",29
"674",13,"Mississippi",19
"675",13,"Missouri",32
"676",13,"Montana",6
"677",13,"Nebraska",12
"678",13,"Nevada",15
"679",13,"New Hampshire",8
"680",13,"New Jersey",43
"681",13,"New Mexico",14
"682",13,"New York",41
"683",13,"North Carolina",44
"684",13,"North Dakota",2
"685",13,"Ohio",37
"686",13,"Oklahoma",22
"687",13,"Oregon",23
"688",13,"Pennsylvania",39
"689",13,"Rhode Island",7
"690",13,"South Carolina",26
"691",13,"South Dakota",4
"692",13,"Tennessee",33
"693",13,"Texas",48
"694",13,"Utah",16
"695",13,"Vermont",1
"696",13,"Virginia",42
"697",13,"Washington",38
"698",13,"West Virginia",13
"699",13,"Wisconsin",30
"700",13,"Wyoming",0
"701",14,"Alabama",27
"702",14,"Alaska",3
"703",14,"Arizona",34
"704",14,"Arkansas",18
"705",14,"California",46
"706",14,"Colorado",28
"707",14,"Connecticut",21
"708",14,"Delaware",5
"709",14,"Florida",41
"710",14,"Georgia",47
"711",14,"Hawaii",10
"712",14,"Idaho",11
"713",14,"Illinois",40
"714",14,"Indiana",35
"715",14,"Iowa",20
"716",14,"Kansas",17
"717",14,"Kentucky",24
"718",14,"Louisiana",25
"719",14,"Maine",9
"720",14,"Maryland",31
"721",14,"Massachusetts",36
"722",14,"Michigan",48
"723",14,"Minnesota",29
"724",14,"Mississippi",19
"725",14,"Missouri",32
"726",14,"Montana",6
"727",14,"Nebraska",12
"728",14,"Nevada",15
"729",14,"New Hampshire",8
"730",14,"New Jersey",44
"731",14,"New Mexico",14
"732",14,"New York",42
"733",14,"North Carolina",45
"734",14,"North Dakota",2
"735",14,"Ohio",37
"736",14,"Oklahoma",22
"737",14,"Oregon",23
"738",14,"Pennsylvania",39
"739",14,"Rhode Island",7
"740",14,"South Carolina",26
"741",14,"South Dakota",4
"742",14,"Tennessee",33
"743",14,"Texas",49
"744",14,"Utah",16
"745",14,"Vermont",1
"746",14,"Virginia",43
"747",14,"Washington",38
"748",14,"West Virginia",13
"749",14,"Wisconsin",30
"750",14,"Wyoming",0
"751",15,"Alabama",27
"752",15,"Alaska",3
"753",15,"Arizona",34
"754",15,"Arkansas",18
"755",15,"California",47
"756",15,"Colorado",28
"757",15,"Connecticut",21
"758",15,"Delaware",5
"759",15,"Florida",41
"760",15,"Georgia",48
"761",15,"Hawaii",10
"762",15,"Idaho",11
"763",15,"Illinois",40
"764",15,"Indiana",35
"765",15,"Iowa",20
"766",15,"Kansas",17
"767",15,"Kentucky",24
"768",15,"Louisiana",25
"769",15,"Maine",9
"770",15,"Maryland",31
"771",15,"Massachusetts",36
"772",15,"Michigan",49
"773",15,"Minnesota",29
"774",15,"Mississippi",19
"775",15,"Missouri",32
"776",15,"Montana",6
"777",15,"Nebraska",12
"778",15,"Nevada",15
"779",15,"New Hampshire",8
"780",15,"New Jersey",45
"781",15,"New Mexico",14
"782",15,"New York",42
"783",15,"North Carolina",46
"784",15,"North Dakota",2
"785",15,"Ohio",37
"786",15,"Oklahoma",22
"787",15,"Oregon",23
"788",15,"Pennsylvania",39
"789",15,"Rhode Island",7
"790",15,"South Carolina",26
"791",15,"South Dakota",4
"792",15,"Tennessee",33
"793",15,"Texas",43
"794",15,"Utah",16
"795",15,"Vermont",1
"796",15,"Virginia",44
"797",15,"Washington",38
"798",15,"West Virginia",13
"799",15,"Wisconsin",30
"800",15,"Wyoming",0
"801",16,"Alabama",27
"802",16,"Alaska",3
"803",16,"Arizona",35
"804",16,"Arkansas",18
"805",16,"California",48
"806",16,"Colorado",28
"807",16,"Connecticut",21
"808",16,"Delaware",5
"809",16,"Florida",42
"810",16,"Georgia",49
"811",16,"Hawaii",10
"812",16,"Idaho",11
"813",16,"Illinois",41
"814",16,"Indiana",36
"815",16,"Iowa",20
"816",16,"Kansas",17
"817",16,"Kentucky",24
"818",16,"Louisiana",25
"819",16,"Maine",9
"820",16,"Maryland",32
"821",16,"Massachusetts",37
"822",16,"Michigan",31
"823",16,"Minnesota",29
"824",16,"Mississippi",19
"825",16,"Missouri",33
"826",16,"Montana",6
"827",16,"Nebraska",12
"828",16,"Nevada",15
"829",16,"New Hampshire",8
"830",16,"New Jersey",46
"831",16,"New Mexico",14
"832",16,"New York",43
"833",16,"North Carolina",47
"834",16,"North Dakota",2
"835",16,"Ohio",38
"836",16,"Oklahoma",22
"837",16,"Oregon",23
"838",16,"Pennsylvania",40
"839",16,"Rhode Island",7
"840",16,"South Carolina",26
"841",16,"South Dakota",4
"842",16,"Tennessee",34
"843",16,"Texas",44
"844",16,"Utah",16
"845",16,"Vermont",1
"846",16,"Virginia",45
"847",16,"Washington",39
"848",16,"West Virginia",13
"849",16,"Wisconsin",30
"850",16,"Wyoming",0
"851",17,"Alabama",27
"852",17,"Alaska",3
"853",17,"Arizona",36
"854",17,"Arkansas",18
"855",17,"California",49
"856",17,"Colorado",28
"857",17,"Connecticut",21
"858",17,"Delaware",5
"859",17,"Florida",43
"860",17,"Georgia",30
"861",17,"Hawaii",10
"862",17,"Idaho",11
"863",17,"Illinois",42
"864",17,"Indiana",37
"865",17,"Iowa",20
"866",17,"Kansas",17
"867",17,"Kentucky",24
"868",17,"Louisiana",25
"869",17,"Maine",9
"870",17,"Maryland",33
"871",17,"Massachusetts",38
"872",17,"Michigan",32
"873",17,"Minnesota",29
"874",17,"Mississippi",19
"875",17,"Missouri",34
"876",17,"Montana",6
"877",17,"Nebraska",12
"878",17,"Nevada",15
"879",17,"New Hampshire",8
"880",17,"New Jersey",47
"881",17,"New Mexico",14
"882",17,"New York",44
"883",17,"North Carolina",48
"884",17,"North Dakota",2
"885",17,"Ohio",39
"886",17,"Oklahoma",22
"887",17,"Oregon",23
"888",17,"Pennsylvania",41
"889",17,"Rhode Island",7
"890",17,"South Carolina",26
"891",17,"South Dakota",4
"892",17,"Tennessee",35
"893",17,"Texas",45
"894",17,"Utah",16
"895",17,"Vermont",1
"896",17,"Virginia",46
"897",17,"Washington",40
"898",17,"West Virginia",13
"899",17,"Wisconsin",31
"900",17,"Wyoming",0
"901",18,"Alabama",27
"902",18,"Alaska",3
"903",18,"Arizona",36
"904",18,"Arkansas",18
"905",18,"California",47
"906",18,"Colorado",28
"907",18,"Connecticut",21
"908",18,"Delaware",5
"909",18,"Florida",43
"910",18,"Georgia",30
"911",18,"Hawaii",10
"912",18,"Idaho",11
"913",18,"Illinois",42
"914",18,"Indiana",37
"915",18,"Iowa",20
"916",18,"Kansas",17
"917",18,"Kentucky",24
"918",18,"Louisiana",25
"919",18,"Maine",9
"920",18,"Maryland",33
"921",18,"Massachusetts",38
"922",18,"Michigan",32
"923",18,"Minnesota",29
"924",18,"Mississippi",19
"925",18,"Missouri",34
"926",18,"Montana",6
"927",18,"Nebraska",12
"928",18,"Nevada",15
"929",18,"New Hampshire",8
"930",18,"New Jersey",48
"931",18,"New Mexico",14
"932",18,"New York",44
"933",18,"North Carolina",49
"934",18,"North Dakota",2
"935",18,"Ohio",39
"936",18,"Oklahoma",22
"937",18,"Oregon",23
"938",18,"Pennsylvania",41
"939",18,"Rhode Island",7
"940",18,"South Carolina",26
"941",18,"South Dakota",4
"942",18,"Tennessee",35
"943",18,"Texas",45
"944",18,"Utah",16
"945",18,"Vermont",1
"946",18,"Virginia",46
"947",18,"Washington",40
"948",18,"West Virginia",13
"949",18,"Wisconsin",31
"950",18,"Wyoming",0
"951",19,"Alabama",27
"952",19,"Alaska",3
"953",19,"Arizona",37
"954",19,"Arkansas",18
"955",19,"California",48
"956",19,"Colorado",28
"957",19,"Connecticut",21
"958",19,"Delaware",5
"959",19,"Florida",44
"960",19,"Georgia",31
"961",19,"Hawaii",10
"962",19,"Idaho",11
"963",19,"Illinois",43
"964",19,"Indiana",38
"965",19,"Iowa",20
"966",19,"Kansas",17
"967",19,"Kentucky",24
"968",19,"Louisiana",25
"969",19,"Maine",9
"970",19,"Maryland",34
"971",19,"Massachusetts",39
"972",19,"Michigan",33
"973",19,"Minnesota",29
"974",19,"Mississippi",19
"975",19,"Missouri",35
"976",19,"Montana",6
"977",19,"Nebraska",12
"978",19,"Nevada",15
"979",19,"New Hampshire",8
"980",19,"New Jersey",49
"981",19,"New Mexico",14
"982",19,"New York",45
"983",19,"North Carolina",30
"984",19,"North Dakota",2
"985",19,"Ohio",40
"986",19,"Oklahoma",22
"987",19,"Oregon",23
"988",19,"Pennsylvania",42
"989",19,"Rhode Island",7
"990",19,"South Carolina",26
"991",19,"South Dakota",4
"992",19,"Tennessee",36
"993",19,"Texas",46
"994",19,"Utah",16
"995",19,"Vermont",1
"996",19,"Virginia",47
"997",19,"Washington",41
"998",19,"West Virginia",13
"999",19,"Wisconsin",32
"1000",19,"Wyoming",0
"1001",20,"Alabama",27
"1002",20,"Alaska",3
"1003",20,"Arizona",38
"1004",20,"Arkansas",18
"1005",20,"California",49
"1006",20,"Colorado",28
"1007",20,"Connecticut",21
"1008",20,"Delaware",5
"1009",20,"Florida",45
"1010",20,"Georgia",32
